id_municipio,ano,salario_mensal
1508084,2020,1045.0
1506351,2020,1060.0
1508084,2020,1120.97998046875
1508209,2020,1289.510009765625
1507904,2020,1185.0
1507607,2020,1150.0
1505007,2020,1297.18994140625
1507458,2020,1045.0
1503200,2020,998.0
1505437,2020,1072.300048828125
1504059,2020,1169.099975585938
1505650,2020,1232.400024414063
1508084,2020,1200.0
1506203,2020,1045.0
1507607,2020,1224.160034179688
1506161,2020,1080.0
1502954,2020,4306.919921875
1505437,2020,1045.0
1502608,2020,1045.0
1503903,2020,1672.849975585938
1505437,2020,2084.0
1508159,2020,1425.52001953125
1506161,2020,1045.0
1501725,2020,1911.800048828125
1505437,2020,1120.97998046875
1505064,2020,1045.0
1508084,2020,1420.420043945313
1508159,2020,1911.800048828125
1505106,2020,2090.0
1506195,2020,1045.0
1502905,2020,2750.0
1502103,2020,1232.400024414063
1500305,2020,1039.0
1508035,2020,1169.089965820313
1501725,2020,1221.109985351563
1505437,2020,1699.599975585938
1506351,2020,1590.150024414063
1503705,2020,1177.0
1508084,2020,2780.340087890625
1503093,2020,0.0
1503903,2020,2241.77001953125
1503903,2020,1131.0
1502905,2020,1045.0
1501808,2020,1060.800048828125
1508084,2020,1120.97998046875
1504406,2020,1232.400024414063
1502905,2020,1097.25
1506203,2020,1020.0
1501576,2020,1407.5
1505437,2020,3477.320068359375
1506195,2020,1045.0
1506609,2020,1169.099975585938
1500503,2020,1852.099975585938
1507409,2020,1169.099975585938
1505437,2020,1065.9599609375
1505551,2020,1067.180053710938
1501451,2020,970.0
1502103,2020,1232.400024414063
1507755,2020,1567.5
1503408,2020,1521.079956054688
1507607,2020,1150.0
1502905,2020,1097.25
1508084,2020,1171.47998046875
1501576,2020,1407.5
1506583,2020,1521.079956054688
1502764,2020,2017.989990234375
1505635,2020,1126.18994140625
1500305,2020,1039.0
1502756,2020,1484.319946289063
1506583,2020,1045.0
1501907,2020,1232.400024414063
1502772,2020,1597.589965820313
1508084,2020,1045.0
1508084,2020,1045.0
1500347,2020,1045.0
1505007,2020,1250.0
1508084,2020,1500.0
1503093,2020,1232.400024414063
1506609,2020,1215.859985351563
1506351,2020,1060.0
1508084,2020,1012.109985351563
1508357,2020,2000.0
1502707,2020,1045.0
1501253,2020,2000.0
1504000,2020,1232.400024414063
1505809,2020,1310.0
1503507,2020,1129.800048828125
1502707,2020,1176.0
1500404,2020,1232.400024414063
1506195,2020,2866.320068359375
1506203,2020,1100.0
1508357,2020,1386.43994140625
1501782,2020,1232.400024414063
1505551,2020,1172.0400390625
1503200,2020,1298.18994140625
1505437,2020,1109.869995117188
1502756,2020,1045.0
1500305,2020,2049.60009765625
1502772,2020,1917.099975585938
1501725,2020,1108.800048828125
1504455,2020,1400.0
1506351,2020,1045.0
1508159,2020,1200.0
1503093,2020,29940.0
1504455,2020,1221.109985351563
1508209,2020,1227.930053710938
1502103,2020,1767.0
1500404,2020,1045.0
1506161,2020,1055.0
1506161,2020,1080.0
1502707,2020,1045.0
1502707,2020,1176.0
1506203,2020,1169.099975585938
1500404,2020,1045.0
1507607,2020,1129.800048828125
1505437,2020,1120.97998046875
1500347,2020,1045.0
1506187,2020,1220.0
1500206,2020,1048.0
1507458,2020,1102.400024414063
1507102,2020,1232.400024414063
1503705,2020,1045.0
1501253,2020,1600.0
1506187,2020,1522.650024414063
1505437,2020,1072.300048828125
1505437,2020,1250.0
1506195,2020,1707.77001953125
1502103,2020,1232.400024414063
1507755,2020,1045.0
1508084,2020,1171.140014648438
1507607,2020,1180.0
1500859,2020,1045.0
1503903,2020,1798.0
1503903,2020,499.0
1500347,2020,1045.0
1506203,2020,1160.0
1507474,2020,2090.0
1506609,2020,1685.869995117188
1506609,2020,1169.099975585938
1508357,2020,2200.0
1507805,2020,1560.0
1503093,2020,0.0
1500503,2020,1550.0
1508159,2020,1567.5
1503093,2020,1099.699951171875
1508050,2020,2600.0
1508159,2020,1067.180053710938
1504406,2020,1232.400024414063
1503903,2020,1521.079956054688
1507458,2020,1208.72998046875
1505064,2020,2955.0
1501808,2020,1542.800048828125
1508357,2020,1170.0
1508084,2020,1457.0
