id_municipio,ano,incremento,floresta
1100379,2018,7.6,1727.4
1100379,2019,10.5,1717.0
1100379,2020,12.6,1703.4
1100403,2014,14.2,920.7
1100403,2015,23.6,897.2
1100403,2016,47.2,850.1
1100403,2017,53.6,796.5
1100403,2018,67.0,729.3
1100403,2019,46.9,682.4
1100403,2020,41.5,640.8
1100452,2014,57.6,929.6
1100452,2015,54.9,850.0
1100452,2016,83.1,791.6
1100452,2017,68.0,723.6
1100452,2018,45.6,678.1
1100452,2019,31.8,646.3
1100452,2020,38.9,607.4
1100502,2014,0.5,102.8
1100502,2015,0.9,101.9
1100502,2016,1.3,100.6
1100502,2017,1.0,99.6
1100502,2018,0.8,98.8
1100502,2019,1.4,97.4
1100502,2020,0.6,96.8
1100601,2014,2.4,478.2
1100601,2015,4.4,473.8
1100601,2016,6.2,467.6
1100601,2017,12.5,455.1
1100601,2018,4.8,450.7
1100601,2019,6.1,444.6
1100601,2020,7.1,437.5
1100700,2014,17.6,1241.7
1100700,2015,20.9,1177.7
1100700,2016,33.7,1187.1
1100700,2017,27.4,1159.6
1100700,2018,22.4,1137.1
1100700,2019,15.0,1122.1
1100700,2020,14.2,1107.9
1100809,2014,41.3,4648.5
1100809,2015,48.0,4600.8
1100809,2016,98.4,4502.4
1100809,2017,106.7,4395.7
1100809,2018,103.6,4292.1
1100809,2019,106.4,4185.7
1100809,2020,115.5,4070.2
1100908,2014,1.2,178.4
1100908,2015,1.6,176.8
1100908,2016,5.0,171.8
1100908,2017,4.2,167.5
1100908,2018,1.8,165.8
1100908,2019,1.8,164.0
1100908,2020,1.5,162.5
1100924,2014,5.3,2166.6
1100924,2015,4.6,2163.3
1100924,2016,8.8,2154.5
1100924,2017,9.9,2144.6
1100924,2018,9.7,2134.8
1100924,2019,15.2,2119.6
1100924,2020,12.6,2107.0
1100940,2014,40.6,2268.0
1100940,2015,65.8,2204.0
1100940,2016,85.9,2118.1
1100940,2017,87.1,2031.0
1100940,2018,73.2,1957.6
1100940,2019,115.5,1842.1
1100940,2020,102.0,1740.1
1101005,2014,1.9,3578.8
1101005,2015,3.7,3568.9
1101005,2016,4.3,3570.9
1101005,2017,6.7,3564.2
1101005,2018,4.8,3559.0
1101005,2019,5.8,3553.2
1101005,2020,5.7,3547.5
1101104,2014,9.0,2914.1
1101104,2015,8.9,2997.2
1101104,2016,16.4,2980.8
1101104,2017,14.2,2966.6
1101104,2018,17.0,2949.7
1101104,2019,15.1,2934.6
1101104,2020,13.6,2921.0
1101203,2014,0.5,92.1
1101203,2015,0.3,91.8
1101203,2016,0.2,91.5
1101203,2017,1.8,89.7
1101203,2018,0.7,88.9
1101203,2019,1.2,87.8
1101203,2020,0.9,86.9
1101302,2014,1.4,353.3
1101302,2015,2.8,350.6
1101302,2016,2.9,347.6
1101302,2017,4.5,343.2
1101302,2018,4.5,338.6
1101302,2019,8.0,330.6
1101302,2020,7.3,323.4
1101401,2014,14.0,493.1
1101401,2015,14.1,477.3
1101401,2016,22.5,456.6
1101401,2017,18.5,438.1
1101401,2018,17.2,420.8
1101401,2019,10.8,410.0
1101401,2020,14.5,395.6
1101435,2014,1.5,111.5
1101435,2015,0.2,111.4
1101435,2016,0.8,110.6
1101435,2017,1.3,109.2
1101435,2018,1.3,108.0
1101435,2019,21.7,86.3
1101435,2020,9.8,76.5
1101450,2014,4.1,922.1
1101450,2015,5.0,917.1
1101450,2016,7.4,909.6
1101450,2017,4.7,904.9
1101450,2018,7.4,897.5
1101450,2019,7.4,890.1
1101450,2020,6.2,883.9
1101468,2014,1.2,2304.1
1101468,2015,4.4,2335.5
1101468,2016,8.6,2299.8
1101468,2017,3.0,2323.9
1101468,2018,3.5,2320.4
1101468,2019,3.7,2316.7
1101468,2020,8.8,2307.9
1101476,2014,0.2,92.7
1101476,2015,0.2,92.5
1101476,2016,0.0,92.5
1101476,2017,0.7,91.7
1101476,2018,1.2,90.5
1101476,2019,0.3,90.3
1101476,2020,0.3,90.0
1101484,2014,0.1,61.0
1101484,2015,0.2,60.8
1101484,2016,0.1,60.7
1101484,2017,0.2,60.5
1101484,2018,0.0,60.5
1101484,2019,0.6,60.0
1101484,2020,0.0,60.0
1101492,2014,6.7,5429.4
1101492,2015,10.7,5412.0
1101492,2016,7.4,5389.0
1101492,2017,11.6,5399.7
1101492,2018,27.1,5368.3
1101492,2019,23.2,5345.1
1101492,2020,18.7,5326.4
1101500,2014,7.2,1853.2
1101500,2015,7.0,1845.7
1101500,2016,7.3,1838.9
1101500,2017,5.8,1833.1
1101500,2018,9.8,1822.5
1101500,2019,53.7,1768.8
