Nr,Lat,Long,Latgms,Longms,Municipio,CodIbge,Estado,AreaKm2,Desmatado2014,Incremento20132014,Floresta2014,Nuvem2014,NaoObservado2014,NaoFloresta2014,Hidrografia2014,Soma 
 64,-5.68166,-48.73065,S 5 40 53.98,O 48 43 50.34,São Domingos do Araguaia,1507151,PA,1397,1289.4,2.4,107.6,0.0,0.0,0.0,0.0,100
 65,-6.84864,-49.25551,S 6 50 55.10,O 49 15 19.84,Xinguara,1508407,PA,3793,3376.4,2.2,396.9,2.1,0.0,0.0,17.6,99
 66,-5.01264,-49.20524,S 5 0 45.50,O 49 12 18.86,Nova Ipixuna,1504976,PA,1569,1148.4,2.1,175.3,28.9,0.0,122.6,93.8,99
 67,-2.38582,-49.92558,S 2 23 8.95,O 49 55 32.09,Oeiras do Pará,1505205,PA,3863,767.4,1.8,1704.0,719.8,0.1,377.7,294.0,100
 68,-1.12099,-51.49156,S 1 7 15.56,O 51 29 29.62,Gurupá,1503101,PA,8550,112.1,1.8,4349.5,2273.3,0.7,517.1,1297.3,100
 69,-0.77509,-47.26758,S 0 46 30.32,O 47 16 3.29,São João de Pirabas,1507474,PA,703,204.6,1.8,205.5,198.3,0.3,12.9,81.4,99
 70,-4.59252,-49.20947,S 4 35 33.07,O 49 12 34.09,Jacundá,1503804,PA,2013,1468.2,1.8,278.4,2.1,0.0,0.0,264.3,99
 71,-5.90983,-48.35503,S 5 54 35.39,O 48 21 18.11,Palestina do Pará,1505494,PA,985,821.7,1.7,137.4,0.0,0.0,0.3,25.6,100
 72,-1.53536,-51.06862,S 1 32 7.30,O 51 4 7.03,Melgaço,1504505,PA,6781,160.2,1.6,4513.3,1414.1,0.7,166.3,526.4,99
 73,-6.19825,-50.43010,S 6 11 53.70,O 50 25 48.36,Parauapebas,1505536,PA,6968,1314.9,1.5,5459.4,106.3,0.0,85.6,1.8,100
 74,-6.16889,-48.75597,S 6 10 8.00,O 48 45 21.49,São Geraldo do Araguaia,1507458,PA,3181,2496.8,1.4,340.9,0.0,0.0,314.1,29.2,100
 75,-6.48129,-50.03153,S 6 28 52.64,O 50 1 53.51,Canaã dos Carajás,1502152,PA,3156,1737.9,1.4,1300.0,12.3,0.1,105.6,0.1,99
 76,-2.06616,-47.25773,S 2 3 58.18,O 47 15 27.83,Capitão Poço,1502301,PA,2924,2570.5,1.3,294.3,54.3,1.1,2.0,1.8,100
 77,-3.24702,-54.93686,S 3 14 49.27,O 54 56 12.70,Belterra,1501451,PA,4399,811.9,1.2,1708.1,1273.5,0.0,0.0,605.5,100
 78,-1.44539,-48.63703,S 1 26 43.40,O 48 38 13.31,Barcarena,1501303,PA,1316,329.3,1.0,302.5,154.4,0.2,1.9,527.7,100
 79,-7.72486,-50.13413,S 7 43 29.50,O 50 8 2.87,Pau D'Arco,1505551,PA,1674,936.9,1.0,320.2,5.1,0.1,411.7,0.0,100
 80,-1.92729,-47.75973,S 1 55 38.24,O 47 45 35.03,São Domingos do Capim,1507201,PA,1686,1338.1,0.9,143.4,153.0,0.4,15.2,35.9,100
 81,-2.26004,-47.70690,S 2 15 36.14,O 47 42 24.84,Aurora do Pará,1500958,PA,1824,1550.7,0.9,163.5,92.0,0.5,0.0,17.3,100
 82,-1.72515,-46.89921,S 1 43 30.54,O 46 53 57.16,Santa Luzia do Pará,1506559,PA,1367,1249.9,0.7,113.0,3.9,0.2,0.0,0.0,100
 83,-0.81267,-48.58165,S 0 48 45.61,O 48 34 53.94,Salvaterra,1506302,PA,1048,113.8,0.6,150.0,51.1,0.1,433.3,299.7,100
 84,-1.15638,-50.43788,S 1 9 22.97,O 50 26 16.37,Breves,1501808,PA,9572,540.5,0.5,5837.5,2083.3,1.6,86.2,1022.9,100
 85,-0.92904,-46.93052,S 0 55 44.54,O 46 55 49.87,Tracuateua,1508035,PA,858,468.5,0.5,131.0,48.9,0.0,188.8,20.8,99
 86,-4.96265,-48.39406,S 4 57 45.54,O 48 23 38.62,Abel Figueiredo,1500131,PA,616,565.8,0.4,50.0,0.0,0.2,0.0,0.0,100
 87,-8.05636,-50.21305,S 8 3 22.90,O 50 12 46.98,Redenção,1506138,PA,3830,2661.9,0.4,446.4,16.6,0.1,705.0,0.0,100
 88,-2.28082,-49.51546,S 2 16 50.95,O 49 30 55.66,Cametá,1502103,PA,3090,1115.5,0.3,774.0,94.2,0.1,657.9,448.3,100
 89,-1.39347,-47.31005,S 1 23 36.49,O 47 18 36.18,Bonito,1501600,PA,590,541.8,0.3,22.4,25.5,0.3,0.0,0.0,99
 90,-1.18797,-47.12751,S 1 11 16.69,O 47 7 39.04,Capanema,1502202,PA,619,516.8,0.3,26.9,43.3,0.1,29.5,2.4,100
 91,-0.80045,-47.75464,S 0 48 1.62,O 47 45 16.70,Marapanim,1504406,PA,795,400.8,0.3,169.2,134.3,0.2,41.6,48.9,100
 92,-1.87841,-47.97492,S 1 52 42.28,O 47 58 29.71,Concórdia do Pará,1502756,PA,695,608.9,0.3,50.4,35.4,0.0,0.0,0.3,99
 93,-2.48368,-50.18049,S 2 29 1.25,O 50 10 49.76,Bagre,1501105,PA,4403,205.1,0.3,1980.3,1899.2,0.1,61.5,256.8,100
 94,-1.73866,-48.85524,S 1 44 19.18,O 48 51 18.86,Abaetetuba,1500107,PA,1617,693.8,0.3,367.4,128.5,0.1,13.6,413.6,100
 95,-2.07583,-49.08754,S 2 4 32.99,O 49 5 15.14,Igarapé-Miri,1503309,PA,2004,479.7,0.2,783.9,215.3,0.0,203.3,321.8,100
 96,-2.54950,-49.35737,S 2 32 58.20,O 49 21 26.53,Mocajuba,1504604,PA,872,492.7,0.2,127.0,9.2,0.0,168.2,74.9,100
 97,-1.55275,-47.62771,S 1 33 9.90,O 47 37 39.76,São Miguel do Guamá,1507607,PA,1117,885.3,0.2,79.3,104.4,0.6,15.2,32.2,99
 98,-1.26528,-47.93713,S 1 15 55.01,O 47 56 13.67,Castanhal,1502400,PA,1034,903.1,0.2,44.9,84.5,0.4,0.0,1.1,100
 99,-0.99347,-47.84850,S 0 59 36.49,O 47 50 54.60,Terra Alta,1507961,PA,209,171.5,0.2,17.9,19.6,0.0,0.0,0.0,100
 100,0.01942,-49.88506,N 0 1 9.91,O 49 53 6.22,Chaves,1502509,PA,13116,96.2,0.2,2074.8,1946.8,0.3,5236.2,3761.7,99
 101,-0.23850,-50.74083,S 0 14 18.60,O 50 44 26.99,Afuá,1500305,PA,8382,29.0,0.2,3656.5,1668.9,0.3,286.7,2740.6,100
 102,-0.80608,-47.47954,S 0 48 21.89,O 47 28 46.34,Maracanã,1504307,PA,860,325.8,0.2,176.9,202.5,0.2,33.2,121.4,100
 103,-1.56776,-50.04488,S 1 34 3.94,O 50 2 41.57,Curralinho,1502806,PA,3626,202.2,0.2,1952.6,858.7,0.4,241.5,370.6,100
 104,-1.48763,-47.12672,S 1 29 15.47,O 47 7 36.19,Ourém,1505403,PA,565,498.1,0.1,33.0,32.0,0.2,1.4,0.3,100
 105,-0.93652,-47.15277,S 0 56 11.47,O 47 9 9.97,Primavera,1506104,PA,261,178.2,0.1,23.7,41.7,0.1,9.3,8.0,100
 106,-0.86850,-47.96322,S 0 52 6.60,O 47 57 47.59,São João da Ponta,1507466,PA,197,107.7,0.1,20.0,56.2,0.1,1.7,11.3,100
 107,-1.36752,-48.12871,S 1 22 3.07,O 48 7 43.36,Santa Isabel do Pará,1506500,PA,720,534.2,0.1,68.3,92.3,0.3,4.1,20.8,100
 108,-1.36579,-47.53045,S 1 21 56.84,O 47 31 49.62,Santa Maria do Pará,1506609,PA,460,415.2,0.1,23.5,21.2,0.1,0.0,0.0,100
 109,-1.20761,-47.74858,S 1 12 27.40,O 47 44 54.89,São Francisco do Pará,1507409,PA,480,417.3,0.1,28.8,32.4,0.1,1.3,0.1,99
 110,-1.65367,-48.05474,S 1 39 13.21,O 48 3 17.06,Bujaru,1501907,PA,1010,657.3,0.1,172.2,109.2,0.2,11.8,59.3,100
 111,-0.90151,-47.34586,S 0 54 5.44,O 47 20 45.10,Santarém Novo,1506906,PA,230,148.2,0.1,22.6,48.4,0.1,1.9,8.8,100
 112,-1.83573,-47.39886,S 1 50 8.63,O 47 23 55.90,Irituia,1503507,PA,1387,1211.5,0.1,68.8,85.8,0.4,17.2,3.3,100
 113,-1.09607,-48.14127,S 1 5 45.85,O 48 8 28.57,Santo Antônio do Tauá,1507003,PA,540,324.6,0.1,43.1,68.5,0.1,6.8,96.9,100
 114,-0.79152,-49.99786,S 0 47 29.47,O 49 59 52.30,Anajás,1500701,PA,6940,176.5,0.0,3844.1,2572.8,0.7,209.1,136.8,99
 115,-1.34293,-48.39038,S 1 20 34.55,O 48 23 25.37,Ananindeua,1500800,PA,185,87.3,0.0,38.2,41.0,0.1,0.0,18.4,100
 116,-0.99609,-46.42827,S 0 59 45.92,O 46 25 41.77,Augusto Corrêa,1500909,PA,1100,728.6,0.0,290.4,0.0,0.0,4.7,76.3,100
 117,-1.27265,-48.50024,S 1 16 21.54,O 48 30 0.86,Belém,1501402,PA,1070,249.0,0.0,124.8,107.7,0.1,7.1,581.3,100
 118,-1.36009,-48.26134,S 1 21 36.32,O 48 15 40.82,Benevides,1501501,PA,189,124.7,0.0,31.4,24.5,0.1,0.0,8.3,99
 119,-0.95528,-46.65764,S 0 57 19.01,O 46 39 27.50,Bragança,1501709,PA,2107,1723.2,0.0,290.0,0.0,0.0,37.6,56.2,99
 120,-0.81338,-48.95588,S 0 48 48.17,O 48 57 21.17,Cachoeira do Arari,1502004,PA,3115,73.4,0.0,228.7,79.5,0.0,2267.7,465.7,100
 121,-0.89755,-48.27572,S 0 53 51.18,O 48 16 32.59,Colares,1502608,PA,612,90.4,0.0,34.9,98.1,0.1,15.9,372.6,100
 122,-6.25014,-49.69278,S 6 15 0.50,O 49 41 34.01,Curionópolis,1502772,PA,2375,2058.2,0.0,274.1,36.5,1.6,4.6,0.0,99
 123,-0.70617,-47.85268,S 0 42 22.21,O 47 51 9.65,Curuçá,1502905,PA,675,271.9,0.0,157.3,175.5,0.4,0.9,69.0,99
 124,-1.17423,-47.57619,S 1 10 27.23,O 47 34 34.28,Igarapé-Açu,1503200,PA,789,687.4,0.0,33.8,60.4,0.2,6.0,1.2,100
 125,-1.45522,-47.89865,S 1 27 18.79,O 47 53 55.14,Inhangapi,1503408,PA,476,327.2,0.0,63.8,52.9,0.1,6.8,25.2,99
 126,-1.88563,-49.49551,S 1 53 8.27,O 49 29 43.84,Limoeiro do Ajuru,1504000,PA,1494,61.7,0.0,648.0,225.6,0.0,50.9,507.8,100
 127,-1.98969,-47.50665,S 1 59 22.88,O 47 30 23.94,Mãe do Rio,1504059,PA,471,448.8,0.0,11.4,9.3,0.1,0.0,1.4,100
 128,-0.82105,-47.63978,S 0 49 15.78,O 47 38 23.21,Magalhães Barata,1504109,PA,326,162.6,0.0,26.9,106.5,0.1,2.3,27.6,100
 129,-1.39704,-48.32114,S 1 23 49.34,O 48 19 16.10,Marituba,1504422,PA,103,65.9,0.0,12.9,17.0,0.0,0.0,7.2,99
 130,-1.31435,-49.34437,S 1 18 51.66,O 49 20 39.73,Muaná,1504901,PA,3776,100.6,0.0,1418.7,409.5,0.2,1361.3,485.7,99
 131,-1.16917,-47.40530,S 1 10 9.01,O 47 24 19.08,Nova Timboteua,1505007,PA,492,377.2,0.0,26.4,64.7,0.2,19.5,4.0,100
 132,-1.12505,-47.27210,S 1 7 30.18,O 47 16 19.56,Peixe-Boi,1505601,PA,454,359.5,0.0,30.5,43.1,0.1,17.1,3.7,99
 133,-1.10948,-49.06293,S 1 6 34.13,O 49 3 46.55,Ponta de Pedras,1505700,PA,3378,52.3,0.0,464.9,143.7,0.1,2254.4,462.6,99
 134,-0.74831,-47.02402,S 0 44 53.92,O 47 1 26.47,Quatipuru,1506112,PA,326,80.4,0.0,162.0,0.0,0.0,24.9,58.7,100
 135,-0.70803,-47.35142,S 0 42 28.91,O 47 21 5.11,Salinópolis,1506203,PA,219,31.3,0.0,68.1,88.0,0.2,10.5,20.9,99
 136,-1.19187,-48.23730,S 1 11 30.73,O 48 14 14.28,Santa Bárbara do Pará,1506351,PA,279,159.7,0.0,37.4,62.3,0.0,0.0,19.6,100
 137,-0.55415,-49.32373,S 0 33 14.94,O 49 19 25.43,Santa Cruz do Arari,1506401,PA,1078,0.0,0.0,2.0,3.7,0.0,1044.1,28.2,100
 138,-0.82301,-48.03573,S 0 49 22.84,O 48 2 8.63,São Caetano de Odivelas,1507102,PA,752,232.3,0.0,81.2,116.1,0.1,8.8,313.5,100
 139,-1.43102,-49.60420,S 1 25 51.67,O 49 36 15.12,São Sebastião da Boa Vista,1507706,PA,1636,123.8,0.0,861.2,359.9,0.1,175.1,115.9,100
 140,-6.83358,-49.56823,S 6 50 0.89,O 49 34 5.63,Sapucaia,1507755,PA,1300,1157.8,0.0,142.2,0.0,0.0,0.0,0.0,100
 141,-0.53599,-48.67721,S 0 32 9.56,O 48 40 37.96,Soure,1507904,PA,3528,34.7,0.0,195.6,62.9,1.0,2502.9,730.9,99
 142,-0.91777,-48.11811,S 0 55 3.97,O 48 7 5.20,Vigia,1508209,PA,536,217.5,0.0,46.5,94.0,0.2,16.4,161.4,100
 143,-1.09331,-46.26696,S 1 5 35.92,O 46 16 1.06,Viseu,1508308,PA,4971,3460.8,0.0,1376.4,0.5,0.6,45.4,87.3,100
