Nr,Lat,Long,Latgms,Longms,Municipio,CodIbge,Estado,AreaKm2,Desmatado2014,Incremento20132014,Floresta2014,Nuvem2014,NaoObservado2014,NaoFloresta2014,Hidrografia2014,Soma 
 1,-6.31664,-54.26280,S 6 18 59.90,O 54 15 46.08,Altamira,1500602,PA,159540,7784.1,293.9,142469.8,3834.7,22.5,3760.6,1668.3,100
 2,-7.46114,-52.46225,S 7 27 40.10,O 52 27 44.10,São Félix do Xingu,1507300,PA,84253,17686.2,151.9,61703.7,129.6,6.5,3788.0,939.0,100
 3,-7.90803,-55.59552,S 7 54 28.91,O 55 35 43.87,Novo Progresso,1505031,PA,38183,5723.3,114.5,28535.2,381.5,11.0,3457.3,74.7,100
 4,-6.03172,-55.96896,S 6 1 54.19,O 55 58 8.26,Itaituba,1503606,PA,62095,5266.6,99.7,55533.2,20.5,3.6,460.8,810.3,99
 5,-3.69969,-50.60258,S 3 41 58.88,O 50 36 9.29,Pacajá,1505486,PA,11851,5301.8,78.4,4511.9,2037.2,0.1,0.0,0.0,100
 6,-4.52485,-50.19409,S 4 31 29.46,O 50 11 38.72,Novo Repartimento,1505064,PA,15432,7533.7,77.9,5007.7,1721.5,0.0,1.0,1168.1,100
 7,-2.62095,-50.99664,S 2 37 15.42,O 50 59 47.90,Portel,1505809,PA,25425,1621.0,60.2,13873.8,8698.0,0.4,385.9,845.9,100
 8,-3.91426,-54.44242,S 3 54 51.34,O 54 26 32.71,Placas,1505650,PA,7173,1945.2,53.4,4115.9,1111.7,0.0,0.1,0.1,100
 9,-5.07669,-49.89878,S 5 4 36.08,O 49 53 55.61,Itupiranga,1503705,PA,7901,4735.2,48.3,3026.0,21.3,1.0,5.6,111.9,99
 10,-5.10620,-55.93385,S 5 6 22.32,O 55 56 1.86,Trairão,1508050,PA,11997,1260.2,43.4,10632.7,0.8,0.2,1.1,102.0,100
 11,-1.02109,-54.28681,S 1 1 15.92,O 54 17 12.52,Monte Alegre,1504802,PA,19516,4240.9,41.8,8849.9,3482.8,3.3,1799.4,1139.7,100
 12,-5.52503,-49.94418,S 5 31 30.11,O 49 56 39.05,Marabá,1504208,PA,15161,8487.4,38.5,6101.2,448.5,1.7,36.2,86.0,99
 13,-4.19980,-55.32309,S 4 11 59.28,O 55 19 23.12,Rurópolis,1506195,PA,7025,1899.2,34.3,5075.8,2.2,0.0,0.0,47.8,99
 14,-3.94708,-51.35268,S 3 56 49.49,O 51 21 9.65,Anapu,1500859,PA,11910,2261.2,31.8,5955.7,3512.8,0.0,6.8,173.5,100
 15,-3.76278,-56.01333,S 3 45 46.01,O 56 0 47.99,Aveiro,1501006,PA,17089,1236.7,29.3,14863.3,250.2,1.4,18.4,719.0,100
 16,-3.55820,-51.73873,S 3 33 29.52,O 51 44 19.43,Senador José Porfírio,1507805,PA,14389,814.8,28.2,6671.8,6430.0,0.2,84.9,387.3,100
 17,-8.50875,-51.37212,S 8 30 31.50,O 51 22 19.63,Cumaru do Norte,1502764,PA,17105,7222.5,25.2,8410.4,35.8,0.3,1436.0,0.0,100
 18,-2.53518,-49.05922,S 2 32 6.65,O 49 3 33.19,Moju,1504703,PA,9129,4293.9,24.8,3720.5,868.3,0.3,190.4,55.6,100
 19,-7.47718,-57.60432,S 7 28 37.85,O 57 36 15.55,Jacareacanga,1503754,PA,53397,1449.0,24.1,46015.2,1.3,8.8,5213.2,709.5,100
 20,-9.27666,-50.54546,S 9 16 35.98,O 50 32 43.66,Santana do Araguaia,1506708,PA,11609,7187.1,23.9,3434.1,114.2,0.3,808.4,64.9,99
 21,0.40528,-54.00657,N 0 24 19.01,O 54 0 23.65,Almeirim,1500503,PA,72964,1800.8,23.8,52261.9,15101.7,53.5,2715.5,1030.6,99
 22,-4.01828,-48.73253,S 4 1 5.81,O 48 43 57.11,Goianésia do Pará,1503093,PA,7048,3816.0,23.2,2489.6,261.0,0.1,0.0,481.3,99
 23,0.07317,-55.75937,N 0 4 23.41,O 55 45 33.73,Óbidos,1505106,PA,28031,1878.5,22.9,19903.1,299.8,2.6,4595.5,1351.5,99
 24,-4.48141,-48.46332,S 4 28 53.08,O 48 27 47.95,Rondon do Pará,1506187,PA,8286,5507.2,22.4,2772.5,6.3,0.0,0.0,0.0,99
 25,-2.16678,-52.59636,S 2 10 0.41,O 52 35 46.90,Porto de Moz,1505908,PA,17427,1022.0,21.5,8661.4,3151.8,2.4,3135.6,1453.8,99
 26,-8.64175,-50.39224,S 8 38 30.30,O 50 23 32.06,Santa Maria das Barreiras,1506583,PA,10351,5888.2,20.0,1855.3,49.6,0.0,2508.9,49.0,100
 27,-3.12356,-47.40354,S 3 7 24.82,O 47 24 12.74,Paragominas,1505502,PA,19465,8709.5,20.0,7531.4,3179.6,1.4,7.1,36.0,99
 28,-2.81346,-55.58935,S 2 48 48.46,O 55 35 21.66,Santarém,1506807,PA,22890,4654.0,17.2,10060.6,3623.7,0.4,663.5,3887.8,99
 29,-3.19117,-51.87114,S 3 11 28.21,O 51 52 16.10,Vitória do Xingu,1508357,PA,3136,1926.4,16.9,754.4,305.7,0.0,0.1,149.4,100
 30,-3.16475,-53.21731,S 3 9 53.10,O 53 13 2.32,Medicilândia,1504455,PA,8272,2048.7,16.8,5930.0,291.4,1.1,0.0,0.8,100
 31,-3.57633,-53.74101,S 3 34 34.79,O 53 44 27.64,Uruará,1508159,PA,10794,3198.2,14.7,4505.2,3086.7,3.7,0.0,0.2,100
 32,-0.30798,-55.15106,S 0 18 28.73,O 55 9 3.82,Alenquer,1500404,PA,22286,1416.2,14.3,16988.1,811.2,4.5,2476.4,589.6,100
 33,-6.76170,-50.32800,S 6 45 42.12,O 50 19 40.80,Água Azul do Norte,1500347,PA,7125,4632.7,14.2,2323.1,41.3,0.0,127.9,0.0,100
 34,-2.39441,-46.79100,S 2 23 39.88,O 46 47 27.60,Nova Esperança do Piriá,1504950,PA,2829,1551.4,13.6,1150.4,126.7,0.5,0.0,0.0,100
 35,-2.64774,-56.23691,S 2 38 51.86,O 56 14 12.88,Juruti,1503903,PA,8308,1175.7,12.9,5214.1,175.9,0.0,633.3,1109.0,100
 36,-1.91814,-53.45330,S 1 55 5.30,O 53 27 11.88,Prainha,1506005,PA,14785,1710.3,12.5,5305.1,3249.0,5.1,2964.4,1551.1,99
 37,-2.01070,-46.41077,S 2 0 38.52,O 46 24 38.77,Cachoeira do Piriá,1501956,PA,2465,1434.1,10.8,786.0,235.9,0.6,0.0,8.4,99
 38,-2.90336,-48.78385,S 2 54 12.10,O 48 47 1.86,Tailândia,1507953,PA,4451,2236.9,9.7,1998.6,215.5,0.0,0.0,0.0,100
 39,-3.30359,-52.60961,S 3 18 12.92,O 52 36 34.60,Brasil Novo,1501725,PA,6368,2624.7,8.8,3540.4,197.9,0.0,0.1,4.9,100
 40,0.26778,-57.52249,N 0 16 4.01,O 57 31 20.96,Oriximiná,1505304,PA,107782,1514.8,8.6,74629.3,26166.9,65.8,3636.6,1768.6,100
 41,-2.66028,-48.25818,S 2 39 37.01,O 48 15 29.45,Tomé-Açu,1508001,PA,5169,2967.2,7.6,1627.1,574.0,0.2,0.1,0.4,99
 42,-3.75686,-49.46757,S 3 45 24.70,O 49 28 3.25,Breu Branco,1501782,PA,3953,2786.7,6.5,697.5,204.8,0.2,0.9,262.9,100
 43,-2.93713,-47.96702,S 2 56 13.67,O 47 58 1.27,Ipixuna do Pará,1503457,PA,5245,2739.5,6.3,1634.1,837.8,1.0,6.7,25.9,99
 44,-2.03379,-48.31904,S 2 2 1.64,O 48 19 8.54,Acará,1500206,PA,4361,2350.8,6.0,1233.7,662.2,0.5,43.3,70.5,99
 45,-1.78297,-55.10334,S 1 46 58.69,O 55 6 12.02,Curuá,1502855,PA,1430,336.6,5.9,353.1,0.0,0.6,272.6,467.1,99
 46,-4.20041,-47.82354,S 4 12 1.48,O 47 49 24.74,Dom Eliseu,1502939,PA,5296,3469.1,5.8,1467.4,358.4,1.1,0.0,0.0,100
 47,-5.02798,-48.77112,S 5 1 40.73,O 48 46 16.03,Bom Jesus do Tocantins,1501576,PA,2827,1755.4,5.6,863.7,97.9,0.8,70.0,39.2,100
 48,-6.55226,-48.99483,S 6 33 8.14,O 48 59 41.39,Piçarra,1505635,PA,3322,2915.4,5.1,336.6,6.1,0.0,0.0,63.9,99
 49,-7.48419,-51.51165,S 7 29 3.08,O 51 30 41.94,Ourilândia do Norte,1505437,PA,14357,1686.6,4.9,9409.7,87.3,0.4,3169.4,3.6,100
 50,-5.44170,-48.67711,S 5 26 30.12,O 48 40 37.60,São João do Araguaia,1507508,PA,1288,919.2,4.5,172.0,7.0,0.0,73.7,116.1,99
 51,-8.20672,-49.54786,S 8 12 24.19,O 49 32 52.30,Conceição do Araguaia,1502707,PA,5847,3077.5,4.4,777.3,0.0,0.3,1874.8,117.1,99
 52,-6.12012,-49.26085,S 6 7 12.43,O 49 15 39.06,Eldorado dos Carajás,1502954,PA,2968,2733.5,4.1,199.1,35.4,0.0,0.0,0.0,99
 53,-7.55246,-49.60538,S 7 33 8.86,O 49 36 19.37,Floresta do Araguaia,1503044,PA,3454,1910.1,4.0,320.5,0.1,0.2,1177.7,45.4,100
 54,-7.36998,-50.10481,S 7 22 11.93,O 50 6 17.32,Rio Maria,1506161,PA,4122,3388.5,3.9,596.2,1.2,0.0,128.6,7.5,100
 55,-2.22129,-47.08493,S 2 13 16.64,O 47 5 5.75,Garrafão do Norte,1503077,PA,1610,1432.8,3.8,176.4,0.0,0.8,0.0,0.0,99
 56,-1.90481,-56.47418,S 1 54 17.32,O 56 28 27.05,Terra Santa,1507979,PA,1900,349.9,3.8,672.8,99.6,0.2,388.1,389.4,99
 57,-3.16791,-49.75057,S 3 10 4.48,O 49 45 2.05,Baião,1501204,PA,3768,1597.5,3.7,1215.7,243.5,0.0,475.4,235.9,100
 58,-3.79728,-49.80670,S 3 47 50.21,O 49 48 24.12,Tucuruí,1508100,PA,2095,775.9,3.6,388.2,448.1,0.0,4.7,478.1,100
 59,-3.80187,-47.54701,S 3 48 6.73,O 47 32 49.24,Ulianópolis,1508126,PA,5122,3483.5,2.9,546.1,1092.2,0.2,0.0,0.0,99
 60,-5.76373,-48.49835,S 5 45 49.43,O 48 29 54.06,Brejo Grande do Araguaia,1501758,PA,1292,1064.3,2.7,171.2,0.0,0.0,29.8,26.7,100
 61,-7.47905,-50.67811,S 7 28 44.58,O 50 40 41.20,Bannach,1501253,PA,2964,2153.8,2.7,701.4,46.3,0.0,62.5,0.0,100
 62,-6.81334,-51.41284,S 6 48 48.02,O 51 24 46.22,Tucumã,1508084,PA,2513,2282.7,2.6,215.7,6.5,0.5,0.0,7.6,100
 63,-1.10869,-57.80093,S 1 6 31.28,O 57 48 3.35,Faro,1503002,PA,11794,241.1,2.4,7480.4,3803.3,0.5,87.6,181.1,100
