Nr,Lat,Long,Latgms,Longms,Municipio,CodIbge,Estado,AreaKm2,Desmatado2015,Incremento20142015,Floresta2015,Nuvem2015,NaoObservado2015,NaoFloresta2015,Hidrografia2015,Soma 
 1,-6.31664,-54.26280,S 6 18 59.90,O 54 15 46.08,Altamira,1500602,PA,159540,8092.6,308.6,142658.4,3360.1,0.0,3760.6,1668.3,100
 2,-7.46114,-52.46225,S 7 27 40.10,O 52 27 44.10,São Félix do Xingu,1507300,PA,84253,17885.4,199.2,61429.4,211.2,0.0,3788.0,939.0,100
 3,-7.90803,-55.59552,S 7 54 28.91,O 55 35 43.87,Novo Progresso,1505031,PA,38183,5892.6,169.3,28743.2,15.2,0.0,3457.3,74.7,100
 4,-3.69969,-50.60258,S 3 41 58.88,O 50 36 9.29,Pacajá,1505486,PA,11851,5467.6,165.8,5762.2,621.2,0.0,0.0,0.0,99
 5,-2.62095,-50.99664,S 2 37 15.42,O 50 59 47.90,Portel,1505809,PA,25425,1730.2,109.2,17364.8,5098.2,0.0,385.9,845.9,100
 6,-3.94708,-51.35268,S 3 56 49.49,O 51 21 9.65,Anapu,1500859,PA,11910,2356.8,95.6,8934.2,438.7,0.0,6.8,173.5,100
 7,-6.03172,-55.96896,S 6 1 54.19,O 55 58 8.26,Itaituba,1503606,PA,62095,5356.9,90.3,53466.3,2000.7,0.0,460.8,810.3,99
 8,-3.91426,-54.44242,S 3 54 51.34,O 54 26 32.71,Placas,1505650,PA,7173,2034.1,88.9,5129.9,8.8,0.0,0.1,0.1,100
 9,-4.52485,-50.19409,S 4 31 29.46,O 50 11 38.72,Novo Repartimento,1505064,PA,15432,7607.4,73.8,4684.9,1970.6,0.0,1.0,1168.1,100
 10,-3.55820,-51.73873,S 3 33 29.52,O 51 44 19.43,Senador José Porfírio,1507805,PA,14389,873.3,58.5,12811.5,232.0,0.0,84.9,387.3,100
 11,-1.91814,-53.45330,S 1 55 5.30,O 53 27 11.88,Prainha,1506005,PA,14785,1765.4,55.1,7544.8,959.3,0.0,2964.4,1551.1,99
 12,-2.81346,-55.58935,S 2 48 48.46,O 55 35 21.66,Santarém,1506807,PA,22890,4708.3,54.3,12749.7,880.7,0.0,663.5,3887.8,100
 13,-3.57633,-53.74101,S 3 34 34.79,O 53 44 27.64,Uruará,1508159,PA,10794,3251.4,53.2,6430.1,1112.3,0.0,0.0,0.2,99
 14,-3.19117,-51.87114,S 3 11 28.21,O 51 52 16.10,Vitória do Xingu,1508357,PA,3136,1974.1,47.7,984.8,27.6,0.0,0.1,149.4,99
 15,-5.52503,-49.94418,S 5 31 30.11,O 49 56 39.05,Marabá,1504208,PA,15161,8533.5,46.0,5913.0,592.3,0.0,36.2,86.0,100
 16,-8.50875,-51.37212,S 8 30 31.50,O 51 22 19.63,Cumaru do Norte,1502764,PA,17105,7263.1,40.5,8405.9,0.0,0.0,1436.0,0.0,100
 17,-7.47718,-57.60432,S 7 28 37.85,O 57 36 15.55,Jacareacanga,1503754,PA,53397,1480.8,31.7,45974.5,19.0,0.0,5213.2,709.5,100
 18,-4.19980,-55.32309,S 4 11 59.28,O 55 19 23.12,Rurópolis,1506195,PA,7025,1930.1,30.9,5040.6,6.5,0.0,0.0,47.8,99
 19,-5.07669,-49.89878,S 5 4 36.08,O 49 53 55.61,Itupiranga,1503705,PA,7901,4763.3,28.1,1745.7,1274.5,0.0,5.6,111.9,99
 20,-2.53518,-49.05922,S 2 32 6.65,O 49 3 33.19,Moju,1504703,PA,9129,4319.6,25.7,4386.8,176.6,0.0,190.4,55.6,100
 21,-4.01828,-48.73253,S 4 1 5.81,O 48 43 57.11,Goianésia do Pará,1503093,PA,7048,3841.1,25.1,2708.9,16.7,0.0,0.0,481.3,100
 22,-5.10620,-55.93385,S 5 6 22.32,O 55 56 1.86,Trairão,1508050,PA,11997,1285.2,25.0,10563.6,45.1,0.0,1.1,102.0,99
 23,-3.12356,-47.40354,S 3 7 24.82,O 47 24 12.74,Paragominas,1505502,PA,19465,8733.7,24.2,9587.8,1100.4,0.0,7.1,36.0,100
 24,-3.79728,-49.80670,S 3 47 50.21,O 49 48 24.12,Tucuruí,1508100,PA,2095,799.1,23.2,775.6,37.5,0.0,4.7,478.1,99
 25,-3.80187,-47.54701,S 3 48 6.73,O 47 32 49.24,Ulianópolis,1508126,PA,5122,3505.9,22.5,1322.2,293.9,0.0,0.0,0.0,100
 26,-7.47905,-50.67811,S 7 28 44.58,O 50 40 41.20,Bannach,1501253,PA,2964,2176.2,22.4,725.3,0.0,0.0,62.5,0.0,100
 27,-2.16678,-52.59636,S 2 10 0.41,O 52 35 46.90,Porto de Moz,1505908,PA,17427,1043.8,21.7,8960.6,2833.2,0.0,3135.6,1453.8,100
 28,-4.48141,-48.46332,S 4 28 53.08,O 48 27 47.95,Rondon do Pará,1506187,PA,8286,5526.1,18.9,2759.9,0.0,0.0,0.0,0.0,100
 29,-3.16475,-53.21731,S 3 9 53.10,O 53 13 2.32,Medicilândia,1504455,PA,8272,2066.5,17.8,4053.9,2150.8,0.0,0.0,0.8,100
 30,-9.27666,-50.54546,S 9 16 35.98,O 50 32 43.66,Santana do Araguaia,1506708,PA,11609,7203.7,16.6,3532.0,0.0,0.0,808.4,64.9,99
 31,-3.75686,-49.46757,S 3 45 24.70,O 49 28 3.25,Breu Branco,1501782,PA,3953,2803.1,16.3,879.7,6.4,0.0,0.9,262.9,99
 32,-3.76278,-56.01333,S 3 45 46.01,O 56 0 47.99,Aveiro,1501006,PA,17089,1252.7,16.1,11675.3,3423.6,0.0,18.4,719.0,99
 33,-2.93713,-47.96702,S 2 56 13.67,O 47 58 1.27,Ipixuna do Pará,1503457,PA,5245,2753.7,14.1,2126.7,332.0,0.0,6.7,25.9,99
 34,-0.30798,-55.15106,S 0 18 28.73,O 55 9 3.82,Alenquer,1500404,PA,22286,1429.6,13.3,15555.4,2235.0,0.0,2476.4,589.6,100
 35,-8.64175,-50.39224,S 8 38 30.30,O 50 23 32.06,Santa Maria das Barreiras,1506583,PA,10351,5901.5,13.3,1891.6,0.0,0.0,2508.9,49.0,99
 36,0.26778,-57.52249,N 0 16 4.01,O 57 31 20.96,Oriximiná,1505304,PA,107782,1528.0,13.2,99553.0,1295.8,0.0,3636.6,1768.6,100
 37,0.07317,-55.75937,N 0 4 23.41,O 55 45 33.73,Óbidos,1505106,PA,28031,1891.6,13.1,19465.1,727.3,0.0,4595.5,1351.5,99
 38,-2.01070,-46.41077,S 2 0 38.52,O 46 24 38.77,Cachoeira do Piriá,1501956,PA,2465,1447.1,13.0,917.8,91.7,0.0,0.0,8.4,100
 39,-1.02109,-54.28681,S 1 1 15.92,O 54 17 12.52,Monte Alegre,1504802,PA,19516,4253.8,12.9,8902.1,3421.0,0.0,1799.4,1139.7,100
 40,0.40528,-54.00657,N 0 24 19.01,O 54 0 23.65,Almeirim,1500503,PA,72964,1813.2,12.4,50089.9,17314.8,0.0,2715.5,1030.6,100
 41,-3.24702,-54.93686,S 3 14 49.27,O 54 56 12.70,Belterra,1501451,PA,4399,822.9,11.0,2936.3,34.3,0.0,0.0,605.5,100
 42,-3.30359,-52.60961,S 3 18 12.92,O 52 36 34.60,Brasil Novo,1501725,PA,6368,2635.7,11.0,2564.9,1162.4,0.0,0.1,4.9,100
 43,-6.76170,-50.32800,S 6 45 42.12,O 50 19 40.80,Água Azul do Norte,1500347,PA,7125,4642.4,9.6,2263.6,91.1,0.0,127.9,0.0,100
