cod;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020
1505403;0.1;0.3;0.7;0.6;0.4;0.3;0.3
1506104;0.1;0.5;0.2;0.0;0.1;0.0;0.5
1507466;0.1;0.6;0.4;0.9;0.6;0.5;0.6
1506500;0.1;0.5;0.9;1.7;0.5;0.0;0.4
1506609;0.1;0.1;0.3;0.1;0.1;0.0;0.1
1507409;0.1;0.1;0.3;0.3;0.1;0.0;0.2
1501907;0.1;1.2;0.6;6.6;0.9;0.2;1.3
1506906;0.1;0.0;0.1;0.3;0.2;0.2;0.1
1503507;0.1;1.9;1.8;1.0;0.3;0.1;0.5
1507003;0.1;0.2;0.0;0.3;0.0;0.0;0.4
1500701;0.0;0.1;0.4;0.0;0.0;0.4;0.9
1500800;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1500909;0.0;0.2;0.0;0.0;0.0;0.0;0.0
1501402;0.0;0.3;0.3;0.3;0.9;1.2;0.2
1501501;0.0;0.1;0.0;0.3;0.3;0.1;0.3
1501709;0.0;0.5;0.0;0.8;0.3;0.2;0.4
1502004;0.0;0.0;0.1;0.0;0.2;0.0;0.0
1502608;0.0;0.0;0.1;0.2;0.0;0.0;0.1
1502772;0.0;0.5;0.5;1.7;0.9;2.7;3.7
1502905;0.0;0.3;1.0;0.4;1.1;0.7;0.9
1503200;0.0;0.3;0.1;0.6;0.0;0.0;0.2
1503408;0.0;0.0;0.1;0.3;0.1;0.2;0.3
1504000;0.0;0.0;0.2;0.2;0.0;0.0;0.2
1504059;0.0;0.2;0.4;0.5;0.0;0.0;0.2
1504109;0.0;0.3;0.0;0.4;0.5;0.2;1.7
1504422;0.0;0.0;0.0;0.0;0.0;0.1;0.0
1504901;0.0;0.0;0.0;0.0;0.3;0.0;0.1
1505007;0.0;0.3;0.5;0.6;0.5;0.0;0.1
1505601;0.0;1.6;0.5;1.8;0.3;0.0;0.2
1505700;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1506112;0.0;1.2;0.1;0.2;0.2;0.0;0.1
1506203;0.0;1.2;0.2;0.2;0.3;1.2;0.0
1506351;0.0;0.1;0.1;0.2;0.2;0.4;0.3
1506401;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1507102;0.0;0.2;1.3;0.3;0.5;0.2;0.9
1507706;0.0;0.0;0.1;0.1;0.0;0.1;0.4
1507755;0.0;0.9;1.0;3.9;2.5;4.6;3.8
1507904;0.0;0.0;0.0;0.5;0.1;0.0;0.0
1508209;0.0;1.4;0.2;0.2;0.1;0.2;0.6
1508308;0.0;4.1;2.4;11.7;4.9;9.4;10.1
