Nr,Lat,Long,Latgms,Longms,Municipio,CodIbge,Estado,AreaKm2,Desmatado2019,Incremento20182019,Floresta2019,Nuvem2019,NaoObservado2019,NaoFloresta2019,Hidrografia2019,Soma 
 1,-6.31664,-54.26280,S 6 18 59.90,O 54 15 46.08,Altamira,1500602,PA,159540,9737.3,575.4,144292.4,81.4,0.0,3760.6,1668.3,99
 2,-7.46114,-52.46225,S 7 27 40.10,O 52 27 44.10,São Félix do Xingu,1507300,PA,84253,19277.8,543.9,60248.2,0.0,0.0,3788.0,939.0,100
 3,-3.55820,-51.73873,S 3 33 29.52,O 51 44 19.43,Senador José Porfírio,1507805,PA,14389,1420.5,328.2,12492.5,3.8,0.0,84.9,387.3,100
 4,-3.69969,-50.60258,S 3 41 58.88,O 50 36 9.29,Pacajá,1505486,PA,11851,6238.9,312.3,5456.0,156.1,0.0,0.0,0.0,100
 5,-2.62095,-50.99664,S 2 37 15.42,O 50 59 47.90,Portel,1505809,PA,25425,2430.2,254.4,20096.3,1666.7,0.0,385.9,845.9,100
 6,-3.94708,-51.35268,S 3 56 49.49,O 51 21 9.65,Anapu,1500859,PA,11910,2820.3,218.3,8909.4,0.0,0.0,6.8,173.5,100
 7,-7.90803,-55.59552,S 7 54 28.91,O 55 35 43.87,Novo Progresso,1505031,PA,38183,6490.0,200.9,28161.0,0.0,0.0,3457.3,74.7,100
 8,-6.03172,-55.96896,S 6 1 54.19,O 55 58 8.26,Itaituba,1503606,PA,62095,5834.2,169.3,54659.6,330.1,0.0,460.8,810.3,100
 9,-3.57633,-53.74101,S 3 34 34.79,O 53 44 27.64,Uruará,1508159,PA,10794,3642.6,154.4,7124.9,26.3,0.0,0.0,0.2,100
 10,-4.52485,-50.19409,S 4 31 29.46,O 50 11 38.72,Novo Repartimento,1505064,PA,15432,8267.9,141.2,5426.9,568.1,0.0,1.0,1168.1,100
 11,-3.16475,-53.21731,S 3 9 53.10,O 53 13 2.32,Medicilândia,1504455,PA,8272,2367.3,112.9,5701.6,202.3,0.0,0.0,0.8,100
 12,-5.10620,-55.93385,S 5 6 22.32,O 55 56 1.86,Trairão,1508050,PA,11997,1575.5,112.1,10318.4,0.0,0.0,1.1,102.0,100
 13,-4.19980,-55.32309,S 4 11 59.28,O 55 19 23.12,Rurópolis,1506195,PA,7025,2162.2,108.8,4810.9,4.1,0.0,0.0,47.8,100
 14,-3.91426,-54.44242,S 3 54 51.34,O 54 26 32.71,Placas,1505650,PA,7173,2387.8,104.8,4785.0,0.0,0.0,0.1,0.1,100
 15,-7.47718,-57.60432,S 7 28 37.85,O 57 36 15.55,Jacareacanga,1503754,PA,53397,1693.9,93.8,45720.6,59.8,0.0,5213.2,709.5,99
