Nr,Lat,Long,Latgms,Longms,Municipio,CodIbge,Estado,AreaKm2,Desmatado2016,Incremento20152016,Floresta2016,Nuvem2016,NaoObservado2016,NaoFloresta2016,Hidrografia2016,Soma 
 1,-6.31664,-54.26280,S 6 18 59.90,O 54 15 46.08,Altamira,1500602,PA,159540,8502.1,409.5,144290.2,1318.8,0.0,3760.6,1668.3,100
 2,-7.46114,-52.46225,S 7 27 40.10,O 52 27 44.10,São Félix do Xingu,1507300,PA,84253,18200.4,314.9,61325.5,0.1,0.0,3788.0,939.0,100
 3,-4.52485,-50.19409,S 4 31 29.46,O 50 11 38.72,Novo Repartimento,1505064,PA,15432,7831.9,224.4,6341.4,89.6,0.0,1.0,1168.1,100
 4,-2.62095,-50.99664,S 2 37 15.42,O 50 59 47.90,Portel,1505809,PA,25425,1908.4,178.1,18551.6,3733.1,0.1,385.9,845.9,100
 5,-3.69969,-50.60258,S 3 41 58.88,O 50 36 9.29,Pacajá,1505486,PA,11851,5609.0,141.4,5609.5,632.5,0.0,0.0,0.0,100
 6,-7.90803,-55.59552,S 7 54 28.91,O 55 35 43.87,Novo Progresso,1505031,PA,38183,6033.4,140.8,28617.6,0.0,0.0,3457.3,74.7,100
 7,-6.03172,-55.96896,S 6 1 54.19,O 55 58 8.26,Itaituba,1503606,PA,62095,5486.3,129.4,55108.4,229.2,0.0,460.8,810.3,100
 8,-5.52503,-49.94418,S 5 31 30.11,O 49 56 39.05,Marabá,1504208,PA,15161,8633.2,99.7,6405.3,0.3,0.0,36.2,86.0,99
 9,-5.07669,-49.89878,S 5 4 36.08,O 49 53 55.61,Itupiranga,1503705,PA,7901,4850.9,87.6,2931.3,1.3,0.0,5.6,111.9,100
 10,-3.94708,-51.35268,S 3 56 49.49,O 51 21 9.65,Anapu,1500859,PA,11910,2442.6,85.8,8978.3,308.8,0.0,6.8,173.5,100
 11,-3.55820,-51.73873,S 3 33 29.52,O 51 44 19.43,Senador José Porfírio,1507805,PA,14389,941.3,68.0,12100.4,875.1,0.0,84.9,387.3,99
 12,-3.91426,-54.44242,S 3 54 51.34,O 54 26 32.71,Placas,1505650,PA,7173,2101.8,67.7,5020.8,50.2,0.0,0.1,0.1,100
 13,-3.57633,-53.74101,S 3 34 34.79,O 53 44 27.64,Uruará,1508159,PA,10794,3315.1,63.7,6268.5,1210.2,0.0,0.0,0.2,99
 14,-1.91814,-53.45330,S 1 55 5.30,O 53 27 11.88,Prainha,1506005,PA,14785,1812.0,46.6,5493.8,2963.6,0.1,2964.4,1551.1,99
 15,-5.10620,-55.93385,S 5 6 22.32,O 55 56 1.86,Trairão,1508050,PA,11997,1325.8,40.6,10543.9,24.2,0.0,1.1,102.0,100
 16,-8.50875,-51.37212,S 8 30 31.50,O 51 22 19.63,Cumaru do Norte,1502764,PA,17105,7295.7,32.7,8373.3,0.0,0.0,1436.0,0.0,100
 17,-7.47718,-57.60432,S 7 28 37.85,O 57 36 15.55,Jacareacanga,1503754,PA,53397,1512.1,31.3,45962.2,0.0,0.0,5213.2,709.5,100
 18,-2.53518,-49.05922,S 2 32 6.65,O 49 3 33.19,Moju,1504703,PA,9129,4350.2,30.6,4398.2,134.6,0.0,190.4,55.6,100
 19,-4.19980,-55.32309,S 4 11 59.28,O 55 19 23.12,Rurópolis,1506195,PA,7025,1957.9,27.8,5004.4,14.9,0.0,0.0,47.8,100
 20,-4.48141,-48.46332,S 4 28 53.08,O 48 27 47.95,Rondon do Pará,1506187,PA,8286,5552.8,26.7,2731.8,1.4,0.0,0.0,0.0,100
 21,-1.02109,-54.28681,S 1 1 15.92,O 54 17 12.52,Monte Alegre,1504802,PA,19516,4278.6,24.8,8095.4,4202.6,0.3,1799.4,1139.7,99
 22,-2.16678,-52.59636,S 2 10 0.41,O 52 35 46.90,Porto de Moz,1505908,PA,17427,1064.6,20.9,7986.7,3786.2,0.1,3135.6,1453.8,100
 23,-4.01828,-48.73253,S 4 1 5.81,O 48 43 57.11,Goianésia do Pará,1503093,PA,7048,3861.7,20.6,2702.6,2.4,0.0,0.0,481.3,100
 24,-9.27666,-50.54546,S 9 16 35.98,O 50 32 43.66,Santana do Araguaia,1506708,PA,11609,7223.8,20.0,3511.9,0.0,0.0,808.4,64.9,99
 25,-3.12356,-47.40354,S 3 7 24.82,O 47 24 12.74,Paragominas,1505502,PA,19465,8753.5,19.8,10156.4,512.0,0.0,7.1,36.0,100
 26,-8.64175,-50.39224,S 8 38 30.30,O 50 23 32.06,Santa Maria das Barreiras,1506583,PA,10351,5920.2,18.7,1872.9,0.0,0.0,2508.9,49.0,99
 27,-3.80187,-47.54701,S 3 48 6.73,O 47 32 49.24,Ulianópolis,1508126,PA,5122,3524.1,18.2,1574.7,23.2,0.0,0.0,0.0,99
 28,-2.81346,-55.58935,S 2 48 48.46,O 55 35 21.66,Santarém,1506807,PA,22890,4725.1,16.9,10840.2,2773.4,0.0,663.5,3887.8,100
 29,0.40528,-54.00657,N 0 24 19.01,O 54 0 23.65,Almeirim,1500503,PA,72964,1828.6,15.4,53429.4,13909.6,50.3,2715.5,1030.6,100
 30,-0.30798,-55.15106,S 0 18 28.73,O 55 9 3.82,Alenquer,1500404,PA,22286,1444.1,14.5,16056.9,1718.7,0.3,2476.4,589.6,100
 31,-2.90336,-48.78385,S 2 54 12.10,O 48 47 1.86,Tailândia,1507953,PA,4451,2257.4,13.8,2059.7,133.9,0.0,0.0,0.0,100
 32,-3.76278,-56.01333,S 3 45 46.01,O 56 0 47.99,Aveiro,1501006,PA,17089,1266.2,13.5,13635.9,1449.5,0.0,18.4,719.0,100
 33,0.26778,-57.52249,N 0 16 4.01,O 57 31 20.96,Oriximiná,1505304,PA,107782,1539.5,11.5,91746.9,9014.9,75.5,3636.6,1768.6,99
 34,-2.93713,-47.96702,S 2 56 13.67,O 47 58 1.27,Ipixuna do Pará,1503457,PA,5245,2764.9,11.2,1907.1,540.4,0.0,6.7,25.9,99
 35,-7.47905,-50.67811,S 7 28 44.58,O 50 40 41.20,Bannach,1501253,PA,2964,2187.1,10.9,714.4,0.0,0.0,62.5,0.0,100
 36,-6.12012,-49.26085,S 6 7 12.43,O 49 15 39.06,Eldorado dos Carajás,1502954,PA,2968,2748.7,10.6,219.3,0.0,0.0,0.0,0.0,100
 37,-3.19117,-51.87114,S 3 11 28.21,O 51 52 16.10,Vitória do Xingu,1508357,PA,3136,1984.4,10.3,973.3,28.8,0.0,0.1,149.4,100
 38,0.07317,-55.75937,N 0 4 23.41,O 55 45 33.73,Óbidos,1505106,PA,28031,1901.7,10.1,14602.5,5579.5,0.3,4595.5,1351.5,99
 39,-3.75686,-49.46757,S 3 45 24.70,O 49 28 3.25,Breu Branco,1501782,PA,3953,2812.3,9.2,870.9,6.0,0.0,0.9,262.9,99
 40,-3.79728,-49.80670,S 3 47 50.21,O 49 48 24.12,Tucuruí,1508100,PA,2095,808.3,9.2,702.1,101.8,0.0,4.7,478.1,99
 41,-2.01070,-46.41077,S 2 0 38.52,O 46 24 38.77,Cachoeira do Piriá,1501956,PA,2465,1456.0,9.0,722.2,278.3,0.1,0.0,8.4,100
 42,-6.76170,-50.32800,S 6 45 42.12,O 50 19 40.80,Água Azul do Norte,1500347,PA,7125,4651.1,8.7,2346.0,0.0,0.0,127.9,0.0,100
 43,-3.16475,-53.21731,S 3 9 53.10,O 53 13 2.32,Medicilândia,1504455,PA,8272,2074.5,8.0,2062.8,4133.9,0.0,0.0,0.8,100
 44,-5.02798,-48.77112,S 5 1 40.73,O 48 46 16.03,Bom Jesus do Tocantins,1501576,PA,2827,1768.9,8.0,948.9,0.0,0.0,70.0,39.2,100
 45,-7.48419,-51.51165,S 7 29 3.08,O 51 30 41.94,Ourilândia do Norte,1505437,PA,14357,1699.7,7.8,9484.3,0.0,0.0,3169.4,3.6,100
 46,-2.39441,-46.79100,S 2 23 39.88,O 46 47 27.60,Nova Esperança do Piriá,1504950,PA,2829,1561.6,7.4,1206.4,61.0,0.0,0.0,0.0,100
 47,-7.36998,-50.10481,S 7 22 11.93,O 50 6 17.32,Rio Maria,1506161,PA,4122,3400.7,7.4,585.2,0.0,0.0,128.6,7.5,100
 48,-4.20041,-47.82354,S 4 12 1.48,O 47 49 24.74,Dom Eliseu,1502939,PA,5296,3483.3,7.2,1799.4,13.3,0.0,0.0,0.0,100
 49,-2.03379,-48.31904,S 2 2 1.64,O 48 19 8.54,Acará,1500206,PA,4361,2365.0,7.2,1697.9,184.2,0.1,43.3,70.5,99
 50,-2.66028,-48.25818,S 2 39 37.01,O 48 15 29.45,Tomé-Açu,1508001,PA,5169,2979.4,7.2,2069.3,119.8,0.0,0.1,0.4,100
 51,-8.20672,-49.54786,S 8 12 24.19,O 49 32 52.30,Conceição do Araguaia,1502707,PA,5847,3086.0,6.8,769.1,0.0,0.0,1874.8,117.1,99
 52,-5.44170,-48.67711,S 5 26 30.12,O 48 40 37.60,São João do Araguaia,1507508,PA,1288,931.0,6.8,167.2,0.0,0.0,73.7,116.1,99
 53,-3.30359,-52.60961,S 3 18 12.92,O 52 36 34.60,Brasil Novo,1501725,PA,6368,2642.2,6.5,2364.6,1356.2,0.0,0.1,4.9,100
 54,-6.19825,-50.43010,S 6 11 53.70,O 50 25 48.36,Parauapebas,1505536,PA,6968,1322.8,6.1,5557.8,0.0,0.0,85.6,1.8,100
 55,-3.16791,-49.75057,S 3 10 4.48,O 49 45 2.05,Baião,1501204,PA,3768,1607.6,5.6,1441.2,7.9,0.0,475.4,235.9,100
 56,-1.78297,-55.10334,S 1 46 58.69,O 55 6 12.02,Curuá,1502855,PA,1430,346.0,5.6,344.0,0.2,0.1,272.6,467.1,100
 57,-5.01264,-49.20524,S 5 0 45.50,O 49 12 18.86,Nova Ipixuna,1504976,PA,1569,1156.5,4.5,196.1,0.0,0.0,122.6,93.8,100
 58,-3.24702,-54.93686,S 3 14 49.27,O 54 56 12.70,Belterra,1501451,PA,4399,827.4,4.5,2895.1,71.0,0.0,0.0,605.5,99
 59,-2.64774,-56.23691,S 2 38 51.86,O 56 14 12.88,Juruti,1503903,PA,8308,1188.1,4.0,4620.0,757.6,0.0,633.3,1109.0,100
 60,-2.38582,-49.92558,S 2 23 8.95,O 49 55 32.09,Oeiras do Pará,1505205,PA,3863,773.0,3.6,2343.6,74.7,0.0,377.7,294.0,100
 61,-6.55226,-48.99483,S 6 33 8.14,O 48 59 41.39,Piçarra,1505635,PA,3322,2921.8,3.3,336.3,0.0,0.0,0.0,63.9,99
 62,-1.90481,-56.47418,S 1 54 17.32,O 56 28 27.05,Terra Santa,1507979,PA,1900,357.8,3.2,627.3,137.4,0.0,388.1,389.4,100
 63,-7.55246,-49.60538,S 7 33 8.86,O 49 36 19.37,Floresta do Araguaia,1503044,PA,3454,1916.5,3.1,314.4,0.0,0.0,1177.7,45.4,100
 64,-6.16889,-48.75597,S 6 10 8.00,O 48 45 21.49,São Geraldo do Araguaia,1507458,PA,3181,2500.4,2.9,337.3,0.0,0.0,314.1,29.2,99
 65,-6.81334,-51.41284,S 6 48 48.02,O 51 24 46.22,Tucumã,1508084,PA,2513,2289.7,2.8,215.7,0.0,0.0,0.0,7.6,99
 66,-1.92729,-47.75973,S 1 55 38.24,O 47 45 35.03,São Domingos do Capim,1507201,PA,1686,1342.5,2.6,270.6,21.8,0.0,15.2,35.9,100
 67,-5.68166,-48.73065,S 5 40 53.98,O 48 43 50.34,São Domingos do Araguaia,1507151,PA,1397,1292.8,2.6,104.2,0.0,0.0,0.0,0.0,100
 68,-1.09331,-46.26696,S 1 5 35.92,O 46 16 1.06,Viseu,1508308,PA,4971,3467.3,2.4,863.5,507.4,0.1,45.4,87.3,100
 69,-5.90983,-48.35503,S 5 54 35.39,O 48 21 18.11,Palestina do Pará,1505494,PA,985,825.4,2.4,133.7,0.0,0.0,0.3,25.6,100
 70,-5.76373,-48.49835,S 5 45 49.43,O 48 29 54.06,Brejo Grande do Araguaia,1501758,PA,1292,1067.9,2.3,167.6,0.0,0.0,29.8,26.7,100
