geocodigo,var,kwh_total,n_uc_total,superficies_hidrica_ha,urban_area_ha,fires_ha,temp_urbana_c,pop,df_km2,pib_rpt_2020
1500107,kwh_total,1.0,0.5964776110338401,0.35921464778069906,-0.08540542822334223,-0.24087627029922734,0.7830333954881971,0.3910440714597072,0.6069456481645125,0.5119267466970621
1500107,n_uc_total,0.5964776110338401,1.0,-0.13998195397345986,0.5079326856262973,-0.7002917119734346,0.16002150188624079,0.9288708206940266,0.5695003520964599,0.9569775051762948
1500107,superficies_hidrica_ha,0.35921464778069906,-0.13998195397345986,1.0,-0.29253979009105785,0.1752313149876757,0.3609674566608271,-0.3511433423331018,0.023039877486114916,-0.17638023971893046
1500107,urban_area_ha,-0.08540542822334223,0.5079326856262973,-0.29253979009105785,1.0,-0.15078687453702086,-0.36791791371540067,0.44797486013623045,0.12291130826449559,0.3840118034905518
1500107,fires_ha,-0.24087627029922734,-0.7002917119734346,0.1752313149876757,-0.15078687453702086,1.0,0.23553509433116762,-0.8542951593548189,0.04649849178622393,-0.8722502001832546
1500107,temp_urbana_c,0.7830333954881971,0.16002150188624079,0.3609674566608271,-0.36791791371540067,0.23553509433116762,1.0,-0.020465369712126803,0.6962698143075454,0.051302477568676084
1500107,pop,0.3910440714597072,0.9288708206940266,-0.3511433423331018,0.44797486013623045,-0.8542951593548189,-0.020465369712126803,1.0,0.36975133251652686,0.9789114019292683
1500107,df_km2,0.6069456481645125,0.5695003520964599,0.023039877486114916,0.12291130826449559,0.04649849178622393,0.6962698143075454,0.36975133251652686,1.0,0.3915555931749482
1500107,pib_rpt_2020,0.5119267466970621,0.9569775051762948,-0.17638023971893046,0.3840118034905518,-0.8722502001832546,0.051302477568676084,0.9789114019292683,0.3915555931749482,1.0
1500131,kwh_total,1.0,0.8849497403618095,0.719575463627059,-0.504147613057278,-0.6007318523855651,-0.44460232870487876,0.9662856200594283,0.6746000241709219,0.920463839023927
1500131,n_uc_total,0.8849497403618095,1.0,0.7539388558888412,-0.42728369361559493,-0.3959712446917843,-0.5740543988785552,0.8817464747129856,0.5249609829300977,0.9190051868357054
1500131,superficies_hidrica_ha,0.719575463627059,0.7539388558888412,1.0,-0.23142314786979204,-0.27039836342145507,-0.3902971446403677,0.688325603104429,0.29234390584418346,0.589111702438472
1500131,urban_area_ha,-0.504147613057278,-0.42728369361559493,-0.23142314786979204,1.0,0.9371460465267383,0.75133135957516,-0.32419668414064734,-0.271580475688527,-0.6131839690502819
1500131,fires_ha,-0.6007318523855651,-0.3959712446917843,-0.27039836342145507,0.9371460465267383,1.0,0.69905982207736,-0.41040786136453333,-0.4971733309303553,-0.6009005258390375
1500131,temp_urbana_c,-0.44460232870487876,-0.5740543988785552,-0.3902971446403677,0.75133135957516,0.69905982207736,1.0,-0.2697277726072766,-0.4472226054363903,-0.5365160954765
1500131,pop,0.9662856200594283,0.8817464747129856,0.688325603104429,-0.32419668414064734,-0.41040786136453333,-0.2697277726072766,1.0,0.6435818564022288,0.9102555135642848
1500131,df_km2,0.6746000241709219,0.5249609829300977,0.29234390584418346,-0.271580475688527,-0.4971733309303553,-0.4472226054363903,0.6435818564022288,1.0,0.5995103024965159
1500131,pib_rpt_2020,0.920463839023927,0.9190051868357054,0.589111702438472,-0.6131839690502819,-0.6009005258390375,-0.5365160954765,0.9102555135642848,0.5995103024965159,1.0
1500206,kwh_total,1.0,0.42964549044191064,-0.6514211759399544,0.4468568992042113,-0.22185625371099954,0.6039144594318732,0.030681830100225717,0.43004114447776465,0.8828682397780429
1500206,n_uc_total,0.42964549044191064,1.0,-0.16315460153884898,0.46546597707808135,-0.783081650448296,0.021102657031417178,0.7912504320920404,0.8505816592098898,0.6603394955338501
1500206,superficies_hidrica_ha,-0.6514211759399544,-0.16315460153884898,1.0,-0.18338966154601852,0.21678973185155362,-0.14340230119709807,-0.26054500680391174,-0.13478082453414408,-0.5544415292122729
1500206,urban_area_ha,0.4468568992042113,0.46546597707808135,-0.18338966154601852,1.0,-0.7379255253451646,-0.012768364283188127,0.3673103879959048,0.44895558489405135,0.43243387998493255
1500206,fires_ha,-0.22185625371099954,-0.783081650448296,0.21678973185155362,-0.7379255253451646,1.0,0.4361835459678407,-0.87575983774603,-0.6853523151530428,-0.4202378144925425
1500206,temp_urbana_c,0.6039144594318732,0.021102657031417178,-0.14340230119709807,-0.012768364283188127,0.4361835459678407,1.0,-0.48795513977429134,-0.01758880464172021,0.4018608268506981
1500206,pop,0.030681830100225717,0.7912504320920404,-0.26054500680391174,0.3673103879959048,-0.87575983774603,-0.48795513977429134,1.0,0.6332597373942288,0.3030019401303642
1500206,df_km2,0.43004114447776465,0.8505816592098898,-0.13478082453414408,0.44895558489405135,-0.6853523151530428,-0.01758880464172021,0.6332597373942288,1.0,0.7828570607534538
1500206,pib_rpt_2020,0.8828682397780429,0.6603394955338501,-0.5544415292122729,0.43243387998493255,-0.4202378144925425,0.4018608268506981,0.3030019401303642,0.7828570607534538,1.0
1500305,kwh_total,1.0,-0.3177493495331687,-0.008458983788370742,0.013627264068075615,-0.26406880742778543,0.5878712415561622,-0.3813239217810868,-0.40145791307011447,-0.5573841241239712
1500305,n_uc_total,-0.3177493495331687,1.0,-0.7881607523169679,-0.37966103640881693,-0.1067993226654795,-0.3861695962851309,0.9660915544094747,-0.4475865168158778,0.9537404301779306
1500305,superficies_hidrica_ha,-0.008458983788370742,-0.7881607523169679,1.0,0.40630792876166083,0.23039053243054633,0.439309619517216,-0.7598358844582924,0.3463211832311902,-0.7155027298744087
