system:index,forest_area,rd,.geo
79,4.1697416,1.6419951,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,4.902573,2.0482478,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,2.8826659,1.9667361,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,6.0375524,1.8871459,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,10.22277,1.8487874,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,6.470664,2.138024,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,5.2877455,2.583209,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,14.854758,2.676126,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,6.8147345,2.3996065,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,6.8835335,2.2075105,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,6.8835335,2.0195649,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,7.981665,0.9720089,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,28.16978,1.1350002,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,5.8389287,1.8134577,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,19.078636,1.8134577,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,14.912859,1.5931436,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,12.073887,1.3352634,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,15.674645,2.0330324,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,2.4834027,1.6828264,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,7.9962144,0.7738496,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,7.153338,0.6908579,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,10.14902,1.4935541,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,1.7802694,1.9743066,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,3.7246776,1.8135872,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,4.959555,1.9375348,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,7.21513,1.9235774,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,4.7444186,1.925912,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,8.713653,2.2328656,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,12.638737,2.5050013,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,5.7356033,2.5385346,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,3.2405815,2.35114,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,17.28711,2.5426517,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,17.28711,2.6399894,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,7.6171203,2.5148485,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,1.6934441,2.0781083,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,35.790806,1.9043666,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,7.0219436,1.1464897,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,17.904886,1.3648795,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,1.382544,1.4386587,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,35.112606,1.7407539,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,46.963966,1.6045349,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,16.402552,1.670263,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,23.753616,1.7446935,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,3.4731593,1.066689,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,5.3941936,0.6825813,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,13.239897,1.0256801,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,11.726501,1.5582558,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,3.3231509,1.7070665,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,6.8022466,1.452625,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,13.861834,1.7650137,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,13.861834,1.85455,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,6.902652,2.0806396,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,7.3494067,2.2678459,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,10.690123,2.305134,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,9.224409,2.535026,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,10.103465,2.4518752,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,17.28711,2.7433681,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,8.295869,2.82355,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,5.0871882,2.82355,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,9.723844,2.6247315,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,5.883063,2.0820832,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,67.518776,2.0145307,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,49.42818,1.7448618,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,49.42818,1.5270095,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,14.662093,1.5156361,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,14.120968,1.9052346,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,1.2442294,2.0024352,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,17.09472,1.932457,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,16.047003,2.0811763,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,21.110886,2.2830832,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,19.102404,1.6081567,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,19.102404,0.90957046,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,4.4455647,1.3723216,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,6.611025,1.7526106,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,10.397071,1.668684,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,3.0232222,1.801736,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,7.9833517,1.6814393,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,13.861834,1.8102264,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,4.1914434,1.9654504,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,7.321781,1.9654504,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,14.0365,2.1662338,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,11.491189,2.0492814,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,10.906651,2.267386,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,9.473822,2.5077755,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,17.28711,2.2857,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,5.8494463,2.7870107,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,17.784885,2.9099116,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,17.772095,2.3658257,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,2.6667001,2.259815,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,21.098017,2.5817068,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,64.722786,1.9516456,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,66.68159,1.6487613,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,41.490807,1.3333298,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,14.746178,1.8366454,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,3.3540614,2.429954,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,3.3581007,2.125827,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,8.315972,1.8688397,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,7.2302256,2.2398453,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,15.456454,2.3679652,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,19.102404,2.2040365,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,14.271525,2.1591163,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,14.996588,2.1591163,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,5.9955797,2.2216454,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,8.750002,2.1128592,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,4.0986843,1.9489079,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,7.9295454,1.9429263,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,13.861834,1.6851357,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,8.449602,1.768071,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,2.0062335,1.9931642,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,10.6826105,2.052665,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,12.4080515,1.9786228,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,7.408481,2.2508402,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,5.797033,2.603822,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,7.293258,2.4169583,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,6.048487,2.6581786,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,17.174109,2.4516888,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,18.133057,2.0400138,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,14.777254,2.464854,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,62.710224,2.5635676,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,62.710224,1.9575905,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,56.750504,1.8281806,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,53.10051,1.6391437,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,39.052895,1.782708,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,32.69616,1.5611578,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,37.510574,1.9083904,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,12.648963,1.9083904,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,1.047091,2.1411486,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,3.5434499,2.0374572,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,19.059355,1.7856921,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,16.309298,1.8072124,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,19.351912,2.2088027,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,15.834138,2.3049903,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,7.4509215,2.6214113,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,8.981968,2.5409927,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,8.471623,2.244515,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,8.269535,2.005077,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,10.648357,2.0476506,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,1.6936625,2.1176467,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,4.2509217,1.8495306,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,3.9443638,1.7931964,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,4.81698,2.069611,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,15.400273,2.1414769,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,16.822,2.0164635,"{""type"":""MultiPoint"",""coordinates"":[]}"
222,7.547725,2.3897712,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,7.547725,2.593481,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,6.7642236,2.5471842,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,14.9430275,2.2168655,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,16.639093,1.8999035,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,26.726463,2.0984054,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,8.824577,3.1272395,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,62.710224,2.7056444,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,30.875595,2.039758,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,56.97315,2.039758,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,48.413303,1.63976,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,50.17086,1.8551056,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,34.229553,1.9538102,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,34.229553,2.0464308,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,25.49747,2.0687985,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,20.341692,2.0657551,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,11.800711,2.2205677,"{""type"":""MultiPoint"",""coordinates"":[]}"
239,31.00209,1.9438144,"{""type"":""MultiPoint"",""coordinates"":[]}"
240,3.360079,1.8058873,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,7.4441833,1.763273,"{""type"":""MultiPoint"",""coordinates"":[]}"
242,1.0610371,1.8470787,"{""type"":""MultiPoint"",""coordinates"":[]}"
243,4.072272,2.3051612,"{""type"":""MultiPoint"",""coordinates"":[]}"
244,8.471789,2.3629913,"{""type"":""MultiPoint"",""coordinates"":[]}"
245,14.126864,2.3292453,"{""type"":""MultiPoint"",""coordinates"":[]}"
246,16.722713,2.069273,"{""type"":""MultiPoint"",""coordinates"":[]}"
247,11.792546,1.8817753,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,9.042811,1.9061828,"{""type"":""MultiPoint"",""coordinates"":[]}"
249,9.042811,1.9989486,"{""type"":""MultiPoint"",""coordinates"":[]}"
250,2.0275047,1.9006683,"{""type"":""MultiPoint"",""coordinates"":[]}"
251,8.096604,1.8860548,"{""type"":""MultiPoint"",""coordinates"":[]}"
252,5.904738,2.0056727,"{""type"":""MultiPoint"",""coordinates"":[]}"
253,13.879036,2.055751,"{""type"":""MultiPoint"",""coordinates"":[]}"
254,4.7558317,2.2710576,"{""type"":""MultiPoint"",""coordinates"":[]}"
255,7.547725,2.4666533,"{""type"":""MultiPoint"",""coordinates"":[]}"
256,4.9104004,2.4896455,"{""type"":""MultiPoint"",""coordinates"":[]}"
257,4.6428347,2.4896455,"{""type"":""MultiPoint"",""coordinates"":[]}"
258,9.619592,2.3400235,"{""type"":""MultiPoint"",""coordinates"":[]}"
259,10.08119,1.8288578,"{""type"":""MultiPoint"",""coordinates"":[]}"
260,9.837583,1.9876962,"{""type"":""MultiPoint"",""coordinates"":[]}"
261,20.220024,2.7679465,"{""type"":""MultiPoint"",""coordinates"":[]}"
262,62.710224,3.096606,"{""type"":""MultiPoint"",""coordinates"":[]}"
263,35.194714,2.6782482,"{""type"":""MultiPoint"",""coordinates"":[]}"
264,72.95981,2.1978536,"{""type"":""MultiPoint"",""coordinates"":[]}"
265,54.51058,1.6779315,"{""type"":""MultiPoint"",""coordinates"":[]}"
266,65.31628,1.4370424,"{""type"":""MultiPoint"",""coordinates"":[]}"
267,36.20746,1.9619218,"{""type"":""MultiPoint"",""coordinates"":[]}"
268,38.529175,2.469954,"{""type"":""MultiPoint"",""coordinates"":[]}"
269,21.677286,2.382435,"{""type"":""MultiPoint"",""coordinates"":[]}"
270,12.9970875,2.2655838,"{""type"":""MultiPoint"",""coordinates"":[]}"
271,15.61798,2.3651602,"{""type"":""MultiPoint"",""coordinates"":[]}"
272,30.53241,2.356583,"{""type"":""MultiPoint"",""coordinates"":[]}"
273,4.969627,1.9883103,"{""type"":""MultiPoint"",""coordinates"":[]}"
274,31.379934,2.0136383,"{""type"":""MultiPoint"",""coordinates"":[]}"
275,31.379934,1.6181316,"{""type"":""MultiPoint"",""coordinates"":[]}"
276,38.91849,1.6189114,"{""type"":""MultiPoint"",""coordinates"":[]}"
277,31.075644,1.7412411,"{""type"":""MultiPoint"",""coordinates"":[]}"
278,23.039282,1.9028033,"{""type"":""MultiPoint"",""coordinates"":[]}"
279,15.513962,2.2179747,"{""type"":""MultiPoint"",""coordinates"":[]}"
280,25.372452,2.0824232,"{""type"":""MultiPoint"",""coordinates"":[]}"
281,31.9154,1.9961854,"{""type"":""MultiPoint"",""coordinates"":[]}"
282,9.042811,1.5905627,"{""type"":""MultiPoint"",""coordinates"":[]}"
283,4.9288898,1.6034129,"{""type"":""MultiPoint"",""coordinates"":[]}"
284,3.5971262,1.6034129,"{""type"":""MultiPoint"",""coordinates"":[]}"
285,0.76759624,1.7721871,"{""type"":""MultiPoint"",""coordinates"":[]}"
286,5.3726234,2.0221057,"{""type"":""MultiPoint"",""coordinates"":[]}"
287,4.646539,2.0935009,"{""type"":""MultiPoint"",""coordinates"":[]}"
288,1.9739815,2.0542448,"{""type"":""MultiPoint"",""coordinates"":[]}"
289,7.547725,2.182502,"{""type"":""MultiPoint"",""coordinates"":[]}"
290,6.7826176,1.8948623,"{""type"":""MultiPoint"",""coordinates"":[]}"
291,12.326354,1.9932375,"{""type"":""MultiPoint"",""coordinates"":[]}"
292,6.5978246,1.9302614,"{""type"":""MultiPoint"",""coordinates"":[]}"
293,5.892362,1.5706992,"{""type"":""MultiPoint"",""coordinates"":[]}"
294,7.343535,2.1085768,"{""type"":""MultiPoint"",""coordinates"":[]}"
295,24.323479,2.4295936,"{""type"":""MultiPoint"",""coordinates"":[]}"
296,22.461983,2.2501268,"{""type"":""MultiPoint"",""coordinates"":[]}"
297,34.52239,2.0478785,"{""type"":""MultiPoint"",""coordinates"":[]}"
298,52.57484,2.0442173,"{""type"":""MultiPoint"",""coordinates"":[]}"
299,73.78567,1.888737,"{""type"":""MultiPoint"",""coordinates"":[]}"
300,42.890404,1.6227943,"{""type"":""MultiPoint"",""coordinates"":[]}"
301,34.171944,1.859848,"{""type"":""MultiPoint"",""coordinates"":[]}"
302,54.46093,2.472053,"{""type"":""MultiPoint"",""coordinates"":[]}"
303,54.46093,2.146352,"{""type"":""MultiPoint"",""coordinates"":[]}"
304,57.23557,1.3035834,"{""type"":""MultiPoint"",""coordinates"":[]}"
305,11.103553,1.6601788,"{""type"":""MultiPoint"",""coordinates"":[]}"
306,22.819113,2.019115,"{""type"":""MultiPoint"",""coordinates"":[]}"
307,11.493945,2.5308678,"{""type"":""MultiPoint"",""coordinates"":[]}"
308,30.206244,2.5300481,"{""type"":""MultiPoint"",""coordinates"":[]}"
